,subjectGS2,verbGS2,objectGS2,sentenceGS2,maximumCosineSimilarity
0,sensor,usesMethod,pv system,sensor usesMethod pv system,0.8331541056312375
1,machine learning,usesTask,event detection event,machine learning usesTask event detection event,0.8122893066517821
2,machine learning,usesTask,network attack,machine learning usesTask network attack,0.8755421220613132
3,network security,usesMethod,multiagent system,network security usesMethod multiagent system,0.8551297407140949
4,multiagent system,usesTask,obstacle avoidance,multiagent system usesTask obstacle avoidance,1.0000000000000002
5,action recognition,usesMethod,language model,action recognition usesMethod language model,0.8130616855715055
6,neural network,usesMaterial,structured set of data,neural network usesMaterial structured set of data,0.8890176547597747
7,neural network,usesTask,nlp task,neural network usesTask nlp task,1.0
8,neural network,usesMaterial,library,neural network usesMaterial library,0.8687843688580551
9,wearable technology,usesMethod,user interface,wearable technology usesMethod user interface,0.8904592429848578
10,action recognition,usesTask,feature extraction,action recognition usesTask feature extraction,0.8818475735448197
11,autonomous vehicle,usesTask,vehicle navigation,autonomous vehicle usesTask vehicle navigation,0.917206440215671
12,face detection,usesMaterial,web page,face detection usesMaterial web page,0.8299190057436694
13,module module,usesMethod,evolutionary algorithm,module module usesMethod evolutionary algorithm,0.9034887545925167
14,transmission assembly,usesMethod,neural network,transmission assembly usesMethod neural network,0.7241682918537948
15,tracking system,usesMaterial,keyboard,tracking system usesMaterial keyboard,0.7773944411732695
16,deep learning,usesMaterial,hyperspectral data,deep learning usesMaterial hyperspectral data,0.8406094108069263
17,cylinder a,usesMethod,neural network,cylinder a usesMethod neural network,0.6963639404116275
18,image analysis,usesTask,parallel computation,image analysis usesTask parallel computation,0.878979199771768
19,machine learning,usesMaterial,sensitive information data,machine learning usesMaterial sensitive information data,0.7961266815369472
20,image analysis,usesMaterial,ecg signal,image analysis usesMaterial ecg signal,0.8130261275214296
21,computational complexity,usesMethod,game theory,computational complexity usesMethod game theory,0.8948303730447289
22,machine learning,usesMaterial,multimedia content,machine learning usesMaterial multimedia content,0.7915483591259049
23,gearbox d,usesMethod,acquisition device,gearbox d usesMethod acquisition device,0.8318665764923993
24,face detection,usesMethod,ensemble learning,face detection usesMethod ensemble learning,0.8449973759180156
25,face detection,usesMaterial,satellite photo image,face detection usesMaterial satellite photo image,0.8405326240230399
26,wearable technology,usesTask,verification,wearable technology usesTask verification,0.8985674608732945
27,action recognition,usesMaterial,handwritten digit recognition,action recognition usesMaterial handwritten digit recognition,0.8018242708008761
28,graphics processing unit,usesMaterial,human pose,graphics processing unit usesMaterial human pose,0.6914765238167898
29,power switch,usesMethod,sensor,power switch usesMethod sensor,0.8060220343850826
30,generative model,usesMethod,evolutionary algorithm,generative model usesMethod evolutionary algorithm,0.7895077833810614
31,sentiment analysis,usesMaterial,matlab,sentiment analysis usesMaterial matlab,0.7782546158965207
32,graphics processing unit,usesMethod,gaussian mixture model,graphics processing unit usesMethod gaussian mixture model,0.7837269716149406
33,wearable technology,usesTask,image enhancement,wearable technology usesTask image enhancement,0.8432067205722282
34,sensor,usesTask,validation,sensor usesTask validation,1.0000000000000002
35,packet loss,usesMethod,acquisition device,packet loss usesMethod acquisition device,0.8021577013045279
36,multiagent system,usesMaterial,incomplete information,multiagent system usesMaterial incomplete information,0.7396020817371688
37,image analysis,usesMaterial,face photo image,image analysis usesMaterial face photo image,0.8863070659642444
38,deep learning,usesTask,computer vision problem,deep learning usesTask computer vision problem,0.9084612519391564
39,sensor,usesMethod,alarm module 2,sensor usesMethod alarm module 2,0.9330978206023061
40,sentiment analysis,usesMethod,machine learning machine learning model,sentiment analysis usesMethod machine learning machine learning model,0.9531848235171699
41,data compression,usesMaterial,video image frame,data compression usesMaterial video image frame,0.9071625165468301
42,action recognition,usesMaterial,labeled data,action recognition usesMaterial labeled data,0.840594354865421
43,purchase,usesMethod,wearable technology,purchase usesMethod wearable technology,0.8308653187890104
44,evolutionary algorithm,usesTask,ontology matching,evolutionary algorithm usesTask ontology matching,0.7718609014360178
45,image analysis,usesMethod,pre processing procedure,image analysis usesMethod pre processing procedure,0.8701558688139474
46,neural network,usesMaterial,vocabulary,neural network usesMaterial vocabulary,0.8980664118693812
47,neural network,usesTask,autonomous system,neural network usesTask autonomous system,0.8687020405245867
48,artificial intelligence,usesMaterial,internet,artificial intelligence usesMaterial internet,0.7433078301417173
49,data compression,usesMethod,co processor,data compression usesMethod co processor,0.7863000353828092
50,game theory,usesTask,power control problem,game theory usesTask power control problem,0.8443801361253787
51,access control,usesTask,image analysis,access control usesTask image analysis,0.8126845695252902
52,acquisition device,usesMethod,set top box,acquisition device usesMethod set top box,0.7613926081655034
53,sentiment analysis,usesMethod,clustering methodology,sentiment analysis usesMethod clustering methodology,0.9798309820385415
54,decision support system,usesMaterial,data collection data,decision support system usesMaterial data collection data,0.8364638233489168
55,face detection,usesMethod,logistic regression,face detection usesMethod logistic regression,0.8090883296112175
56,wearable technology,usesTask,pattern recognition,wearable technology usesTask pattern recognition,0.856328879206413
57,wearable technology,usesTask,usability evaluation,wearable technology usesTask usability evaluation,0.809938979383272
58,artificial intelligence,usesMaterial,library,artificial intelligence usesMaterial library,0.7305637332183897
59,action recognition,usesMethod,markov process,action recognition usesMethod markov process,0.9642961344882435
60,sentiment classification,usesTask,sentiment analysis,sentiment classification usesTask sentiment analysis,1.0000000000000002
61,control based scheme,usesTask,autonomous vehicle,control based scheme usesTask autonomous vehicle,0.8258715588398784
62,decision support system,usesMaterial,training datasets,decision support system usesMaterial training datasets,0.7743022572956889
63,collaborative filtering,usesMethod,decision support system,collaborative filtering usesMethod decision support system,0.8920520466654911
64,evolutionary algorithm,usesMaterial,portable device,evolutionary algorithm usesMaterial portable device,0.7800679674612014
65,evolutionary algorithm,usesTask,data analytics,evolutionary algorithm usesTask data analytics,0.9109283415436863
66,pattern recognition,usesMethod,metaheuristics,pattern recognition usesMethod metaheuristics,0.8058715374081606
67,artificial intelligence,usesMethod,semantic information,artificial intelligence usesMethod semantic information,0.8879717781688647
68,multiagent system,usesMaterial,integrated data,multiagent system usesMaterial integrated data,0.7605969636932145
69,machine learning,usesTask,argumentation,machine learning usesTask argumentation,0.8509641442805668
70,pattern recognition,usesTask,pre processing step,pattern recognition usesTask pre processing step,0.8569673565613937
71,graphics processing unit,usesTask,image acquisition,graphics processing unit usesTask image acquisition,0.8911274652134485
72,evolutionary algorithm,usesTask,prior work,evolutionary algorithm usesTask prior work,0.7977121047876987
73,evolutionary algorithm,usesMaterial,high quality solution,evolutionary algorithm usesMaterial high quality solution,0.8573503625807692
74,image analysis,usesTask,pedestrian detection,image analysis usesTask pedestrian detection,0.9060189931634673
75,sensor,usesTask,gesture recognition,sensor usesTask gesture recognition,1.0
76,data compression,usesMethod,information system,data compression usesMethod information system,0.8783379175397475
77,neural network,usesMethod,shortest path,neural network usesMethod shortest path,0.9657951350507606
78,graphics processing unit,usesTask,reconstruction,graphics processing unit usesTask reconstruction,0.9057469160354391
79,evolutionary algorithm,usesTask,military,evolutionary algorithm usesTask military,0.7346183858399318
80,fault detection,usesMethod,multiagent system,fault detection usesMethod multiagent system,0.8105146778037384
81,monte carlo analysis,usesMethod,decision support system,monte carlo analysis usesMethod decision support system,0.828841213065403
82,image analysis,usesMaterial,big data,image analysis usesMaterial big data,0.8130638940517595
83,decision support system,usesTask,knowledge representation,decision support system usesTask knowledge representation,0.9289668476612807
84,wavelet,usesTask,data compression,wavelet usesTask data compression,0.9999999999999998
85,deep learning,usesMaterial,facial image image,deep learning usesMaterial facial image image,0.9175343815071977
86,artificial intelligence,usesMaterial,facial expression,artificial intelligence usesMaterial facial expression,0.8031667262074149
87,artificial intelligence,usesMethod,graphics processing unit,artificial intelligence usesMethod graphics processing unit,0.8046618771316717
88,location information,usesMethod,decision support system,location information usesMethod decision support system,0.8694159228490502
89,autonomous vehicle,usesMethod,disturbance observer,autonomous vehicle usesMethod disturbance observer,0.9065322168756234
90,sensor,usesMethod,memory module,sensor usesMethod memory module,0.8451839443893805
91,machine learning,usesMaterial,human behaviour,machine learning usesMaterial human behaviour,0.7803551120385126
92,machine learning,usesMaterial,massive volume of data,machine learning usesMaterial massive volume of data,0.9229437017355122
93,pattern recognition,usesMaterial,eeg communication signal,pattern recognition usesMaterial eeg communication signal,0.8884827356323057
94,machine learning,usesMethod,mobile robot,machine learning usesMethod mobile robot,0.9710476294926316
95,user experience,usesTask,pattern recognition,user experience usesTask pattern recognition,0.8887940090525626
96,graphics processing unit,usesTask,validation,graphics processing unit usesTask validation,0.9351395547577331
97,tracking system,usesTask,face recognition,tracking system usesTask face recognition,0.8576388741736225
98,multiagent system,usesTask,human human social interaction,multiagent system usesTask human human social interaction,0.8053533775228388
99,evolutionary algorithm,usesMaterial,knowledge base,evolutionary algorithm usesMaterial knowledge base,0.8915012872010566
100,pattern recognition,usesMethod,decision support system,pattern recognition usesMethod decision support system,0.8287729006191539
101,neural network,usesMaterial,computational resource,neural network usesMaterial computational resource,1.0000000000000002
102,tracking system,usesTask,software project,tracking system usesTask software project,0.8346179313419948
103,tracking system,usesMaterial,color image,tracking system usesMaterial color image,0.8802660243610098
104,artificial intelligence,usesTask,monitoring of electronic device,artificial intelligence usesTask monitoring of electronic device,0.8290298145482503
105,viewpoint,usesTask,face detection,viewpoint usesTask face detection,0.8800609831146392
106,wearable technology,usesMethod,microphone array,wearable technology usesMethod microphone array,0.8201327579852876
107,data compression,usesMaterial,telephone,data compression usesMaterial telephone,0.8031896972291666
108,wearable technology,usesTask,activity recognition,wearable technology usesTask activity recognition,1.0
109,face detection,usesTask,text detection,face detection usesTask text detection,0.8573800060636406
110,decision support system,usesMaterial,big data,decision support system usesMaterial big data,1.0000000000000002
111,decision support system,usesMaterial,python,decision support system usesMaterial python,0.7565789449870723
112,artificial intelligence,usesTask,pattern recognition related task,artificial intelligence usesTask pattern recognition related task,0.9509012428434251
113,machine learning,usesTask,class imbalance,machine learning usesTask class imbalance,0.8882786235100008
114,fusion method technique,usesMethod,wearable technology,fusion method technique usesMethod wearable technology,0.7597889120959265
115,action recognition,usesTask,image retrieval,action recognition usesTask image retrieval,0.8496754610620556
116,sensor,usesMethod,segmentationing method,sensor usesMethod segmentationing method,0.8401454731440874
117,elliptic curve,usesMethod,neural network,elliptic curve usesMethod neural network,0.7079325581101699
118,mathematical analysis,usesTask,data compression,mathematical analysis usesTask data compression,0.83704057400835
119,sentiment analysis,usesMaterial,emoticon,sentiment analysis usesMaterial emoticon,1.0000000000000002
120,autonomous vehicle,usesMethod,servo system,autonomous vehicle usesMethod servo system,0.8721555806439092
121,multiagent system,usesMaterial,email,multiagent system usesMaterial email,0.7613341163780365
122,pattern recognition,usesMaterial,electricity,pattern recognition usesMaterial electricity,0.7661881136360742
123,estimation method,usesTask,pattern recognition,estimation method usesTask pattern recognition,0.8609967771526965
124,sentiment analysis,usesMaterial,social media data set,sentiment analysis usesMaterial social media data set,1.0000000000000002
125,machine learning,usesTask,model checking problem,machine learning usesTask model checking problem,0.9160062025017833
126,deep learning,usesTask,structural health monitoring,deep learning usesTask structural health monitoring,0.8719145427135315
127,sensor,usesTask,object recognition,sensor usesTask object recognition,1.0
128,deep learning,usesMaterial,smart phone,deep learning usesMaterial smart phone,1.0000000000000002
129,tracking system,usesMaterial,reference image,tracking system usesMaterial reference image,0.8831197037248901
130,game theory,usesMaterial,incomplete information,game theory usesMaterial incomplete information,0.8813180194410978
131,neural network,usesTask,gender recognition,neural network usesTask gender recognition,0.8121243949127451
132,packet loss,usesMethod,game theory,packet loss usesMethod game theory,0.7807639846730642
133,multiagent system,usesTask,computational intelligence,multiagent system usesTask computational intelligence,0.8085751732588201
134,machine learning,usesTask,disclosure issue,machine learning usesTask disclosure issue,0.82201567050185
135,pattern recognition,usesMethod,image acquisition device,pattern recognition usesMethod image acquisition device,0.8191511472371457
136,multiagent system,usesMaterial,domain knowledge,multiagent system usesMaterial domain knowledge,0.767524067291975
137,sentiment analysis,usesMethod,clustering algorithm,sentiment analysis usesMethod clustering algorithm,0.9664105753074603
138,pattern recognition,usesMaterial,video with sequence,pattern recognition usesMaterial video with sequence,0.9053082987697071
139,tracking system,usesMethod,image acquisition unit,tracking system usesMethod image acquisition unit,0.8728271578021831
140,acquisition device,usesMaterial,image signal,acquisition device usesMaterial image signal,0.900818533391441
141,data compression,usesTask,data augmentation,data compression usesTask data augmentation,1.0
142,action recognition,usesMethod,convolution neural network system,action recognition usesMethod convolution neural network system,0.9235427622566837
143,electronic device,usesMethod,deep learning,electronic device usesMethod deep learning,0.7891258633254988
144,touch panel panel,usesMethod,neural network,touch panel panel usesMethod neural network,0.7636237008614671
145,game theory,usesMaterial,wireless,game theory usesMaterial wireless,1.0000000000000002
146,conveyer belt,usesMethod,acquisition device,conveyer belt usesMethod acquisition device,0.9160464486043862
147,outer wall,usesMethod,graphics processing unit,outer wall usesMethod graphics processing unit,0.7122893587258334
148,game theory,usesTask,ranking,game theory usesTask ranking,0.8006313955680899
149,wearable technology,usesMaterial,electronic document,wearable technology usesMaterial electronic document,0.770027952172047
150,game theory,usesTask,solution,game theory usesTask solution,1.0
151,graphics processing unit,usesTask,prototyping,graphics processing unit usesTask prototyping,0.8954023095217561
152,multiagent system,usesMaterial,camera image,multiagent system usesMaterial camera image,0.7257958077648933
153,image registration,usesTask,pattern recognition,image registration usesTask pattern recognition,0.8928827423032203
154,graphics processing unit,usesMaterial,color image,graphics processing unit usesMaterial color image,0.8529618981746051
155,decision support system,usesMaterial,geometry,decision support system usesMaterial geometry,0.7099981378330324
156,artificial intelligence,usesMaterial,task example,artificial intelligence usesMaterial task example,0.8846018524525151
157,support vector,usesTask,face detection,support vector usesTask face detection,0.8866046951173623
158,validation,usesMethod,deep learning,validation usesMethod deep learning,0.8323858115874525
159,action recognition,usesMethod,wireless sensor network,action recognition usesMethod wireless sensor network,0.8743210646155974
160,tracking system,usesTask,motion estimation,tracking system usesTask motion estimation,0.9408386366603072
161,game theory,usesMaterial,data centre,game theory usesMaterial data centre,0.6619303553500141
162,action recognition,usesMethod,statistical method,action recognition usesMethod statistical method,0.8731738336552772
163,sensor,usesMaterial,digital image,sensor usesMaterial digital image,0.9741779126567032
164,action recognition,usesMaterial,radio,action recognition usesMaterial radio,0.881893622242188
165,neural network,usesMaterial,robotic hand,neural network usesMaterial robotic hand,1.0000000000000002
166,image analysis,usesTask,automatic identification,image analysis usesTask automatic identification,0.8556871391447907
167,image analysis,usesMaterial,natural photograph,image analysis usesMaterial natural photograph,0.8475396690219625
168,deep learning,usesMaterial,electricity,deep learning usesMaterial electricity,0.8057099034716714
169,sentiment analysis,usesTask,information extraction,sentiment analysis usesTask information extraction,0.9254807484733001
170,data compression,usesMethod,rfid,data compression usesMethod rfid,0.801434200603599
171,artificial intelligence,usesTask,control issue,artificial intelligence usesTask control issue,0.8243672958239578
172,autonomous vehicle,usesMaterial,twitter,autonomous vehicle usesMaterial twitter,0.7141862224594343
173,text classification,usesMethod,evolutionary algorithm,text classification usesMethod evolutionary algorithm,0.9150296711378475
174,image analysis,usesMethod,network architecture,image analysis usesMethod network architecture,0.7905363307056121
175,autonomous vehicle,usesMaterial,vibration signal,autonomous vehicle usesMaterial vibration signal,0.719685611284031
176,image analysis,usesMethod,semantics,image analysis usesMethod semantics,0.8095339170544956
177,acquisition device,usesMethod,broadcast,acquisition device usesMethod broadcast,0.8416290205945632
178,scalability,usesMethod,deep learning,scalability usesMethod deep learning,0.7796268001582639
179,autonomous vehicle,usesMaterial,game,autonomous vehicle usesMaterial game,0.7221117428092892
180,tracking system,usesTask,object tracking,tracking system usesTask object tracking,0.926195504336854
181,sentiment analysis,usesMaterial,social media platform,sentiment analysis usesMaterial social media platform,0.8796487188482391
182,face detection,usesTask,disclosure issue,face detection usesTask disclosure issue,0.8335971053611626
183,graphics processing unit,usesMethod,pca s,graphics processing unit usesMethod pca s,0.7733787805529068
184,decision support system,usesTask,knowledge-sharing,decision support system usesTask knowledge-sharing,0.9283079478019964
185,anintelligent system,usesMethod,deep learning,anintelligent system usesMethod deep learning,0.8905206315605634
186,wireless sensor network,usesMethod,wearable technology,wireless sensor network usesMethod wearable technology,0.8887696798203805
187,image analysis,usesMethod,supervised machine learning,image analysis usesMethod supervised machine learning,0.9614604860332255
188,touch panel panel,usesMethod,machine learning,touch panel panel usesMethod machine learning,0.752046070890219
189,game theory,usesMethod,fpgas,game theory usesMethod fpgas,0.7547558392529188
190,autonomous vehicle,usesMethod,user interface,autonomous vehicle usesMethod user interface,0.8750810142406475
191,image analysis,usesMaterial,grayscale of image,image analysis usesMaterial grayscale of image,0.8241125826365252
192,decision support system,usesMaterial,patient data,decision support system usesMaterial patient data,0.9632298990020955
193,tracking system,usesMaterial,video signal,tracking system usesMaterial video signal,0.8260005744593869
194,detection monitoring device,usesMethod,machine learning,detection monitoring device usesMethod machine learning,0.8874271686408556
195,artificial intelligence,usesMethod,wireless communication module,artificial intelligence usesMethod wireless communication module,0.7811295974652884
196,sentiment analysis,usesTask,activation,sentiment analysis usesTask activation,0.8552430103415757
197,face detection,usesMaterial,digital image,face detection usesMaterial digital image,0.9501734909491032
198,deep learning,usesMaterial,cellular,deep learning usesMaterial cellular,0.7765201125938366
199,pattern recognition,usesMaterial,human motion,pattern recognition usesMaterial human motion,0.7617371206267581
200,storage system device,usesMethod,tracking system,storage system device usesMethod tracking system,0.9048964181797384
201,lighting device,usesMethod,tracking system,lighting device usesMethod tracking system,0.8395281368144898
202,acquisition device,usesTask,line detection,acquisition device usesTask line detection,0.7677763217276733
203,face detection,usesMaterial,camera image,face detection usesMaterial camera image,0.9546873298667061
204,face detection,usesMethod,distributed system,face detection usesMethod distributed system,0.8584359100356874
205,image analysis,usesMethod,control circuit,image analysis usesMethod control circuit,0.8311711309726537
206,tracking system,usesMaterial,hand motion,tracking system usesMaterial hand motion,0.7999896709248699
207,acquisition device,usesMethod,base plate,acquisition device usesMethod base plate,0.9247786291841359
208,multiagent system,usesMethod,unmanned aircraft system,multiagent system usesMethod unmanned aircraft system,0.8247996236774104
209,artificial intelligence,usesMaterial,user behavior,artificial intelligence usesMaterial user behavior,0.7389851790357997
210,sentiment analysis,usesMethod,sensor,sentiment analysis usesMethod sensor,0.8484321345342976
211,neural network,usesMaterial,data set,neural network usesMaterial data set,1.0
212,pattern recognition,usesMaterial,ct image,pattern recognition usesMaterial ct image,0.769273067569431
213,evolutionary algorithm,usesTask,pre processing step,evolutionary algorithm usesTask pre processing step,0.8012815147823996
214,sensor,usesMethod,base plate,sensor usesMethod base plate,0.9117936070127307
215,data compression,usesMethod,wireless networked device,data compression usesMethod wireless networked device,0.8776521628655994
216,artificial intelligence,usesMethod,clustering method,artificial intelligence usesMethod clustering method,0.9350108999373984
217,artificial intelligence,usesMaterial,university,artificial intelligence usesMaterial university,0.7061038362949358
218,sensor,usesMethod,warning device,sensor usesMethod warning device,0.9075998740800076
219,sentiment analysis,usesMethod,computational model,sentiment analysis usesMethod computational model,0.9093965223226311
220,unscented kalman filter,usesTask,data compression,unscented kalman filter usesTask data compression,0.8138187472595446
221,sensor,usesMaterial,color image,sensor usesMaterial color image,0.9594226418883129
222,pattern recognition,usesTask,change detection,pattern recognition usesTask change detection,0.919892388824366
223,wearable technology,usesTask,intelligent control,wearable technology usesTask intelligent control,0.7742551892412206
224,machine learning,usesMaterial,streaming data,machine learning usesMaterial streaming data,1.0
225,evolutionary algorithm,usesTask,real world example problem,evolutionary algorithm usesTask real world example problem,0.8763350438696206
226,graphics processing unit,usesTask,dimensionality reduction,graphics processing unit usesTask dimensionality reduction,0.8573452591683174
227,neural network,usesTask,ranking,neural network usesTask ranking,0.9040030777227934
228,target tracking,usesTask,action recognition,target tracking usesTask action recognition,0.9041630255967364
229,sentiment analysis,usesMaterial,blog,sentiment analysis usesMaterial blog,0.8920720907050916
230,autonomous vehicle,usesTask,stochastic linear optimization problem,autonomous vehicle usesTask stochastic linear optimization problem,0.8268876040037245
231,multiagent system,usesTask,human intervention process,multiagent system usesTask human intervention process,0.848449539240761
232,sentiment analysis,usesMaterial,tweet,sentiment analysis usesMaterial tweet,1.0000000000000002
233,action recognition,usesMaterial,sensor data,action recognition usesMaterial sensor data,0.922813439707509
234,autonomous vehicle,usesMethod,topology,autonomous vehicle usesMethod topology,0.8079634776541149
235,web browsing,usesMethod,multiagent system,web browsing usesMethod multiagent system,0.7301413086768203
236,artificial intelligence,usesMaterial,matlab,artificial intelligence usesMaterial matlab,0.8407007807201645
237,apparatus 1,usesTask,data compression,apparatus 1 usesTask data compression,0.9265119577080011
238,resource allocation,usesMethod,decision support system,resource allocation usesMethod decision support system,0.8430580712035336
239,graphics processing unit,usesMethod,matching algorithm,graphics processing unit usesMethod matching algorithm,0.9722662987517597
240,data compression,usesMaterial,hand motion,data compression usesMaterial hand motion,0.72126209609884
241,deep learning,usesMaterial,linguistics,deep learning usesMaterial linguistics,0.730438441155851
242,password,usesMethod,artificial intelligence,password usesMethod artificial intelligence,0.8587037095381128
243,acquisition device,usesMaterial,equipment,acquisition device usesMaterial equipment,0.8673474051024239
244,action recognition,usesTask,computer vision related application,action recognition usesTask computer vision related application,0.8642664258278293
245,user preferences concept,usesMethod,multiagent system,user preferences concept usesMethod multiagent system,0.7960634708393133
246,data compression,usesMethod,module module,data compression usesMethod module module,0.8970254117390031
247,text classification,usesMethod,game theory,text classification usesMethod game theory,0.8092825356483482
248,handover,usesMethod,multiagent system,handover usesMethod multiagent system,0.7790369259211922
249,autonomous vehicle,usesMaterial,video live broadcast stream,autonomous vehicle usesMaterial video live broadcast stream,0.7931624440748883
250,primary user account,usesMethod,game theory,primary user account usesMethod game theory,0.7825303326207792
251,image analysis,usesTask,radar,image analysis usesTask radar,0.8875537555521194
252,machine learning,usesTask,data mining,machine learning usesTask data mining,1.0000000000000002
253,tracking system,usesMaterial,digital image,tracking system usesMaterial digital image,0.9188374872698314
254,game theory,usesTask,channel state information,game theory usesTask channel state information,0.793011543376634
255,machine learning,usesMethod,vision system,machine learning usesMethod vision system,0.9034096822568857
256,acquisition device,usesMethod,dsp,acquisition device usesMethod dsp,0.8560312187835777
257,image analysis,usesMethod,unmanned aircraft system,image analysis usesMethod unmanned aircraft system,0.8791805656754627
258,neural network,usesMethod,naive bayes,neural network usesMethod naive bayes,0.8480096407672554
259,pattern recognition,usesTask,pedestrian detection,pattern recognition usesTask pedestrian detection,0.8883128163554784
260,action recognition,usesMaterial,dialogue,action recognition usesMaterial dialogue,0.7695726073840341
261,pattern recognition,usesMethod,power system a,pattern recognition usesMethod power system a,0.724430704014694
262,acquisition device,usesTask,remote monitoring,acquisition device usesTask remote monitoring,1.0
263,multiagent system,usesTask,tracking control,multiagent system usesTask tracking control,0.8672618749260056
264,evaluation,usesTask,sentiment analysis,evaluation usesTask sentiment analysis,0.8810594848602394
265,action recognition,usesMaterial,vocabulary,action recognition usesMaterial vocabulary,0.788264106969056
266,artificial intelligence,usesMethod,computer program,artificial intelligence usesMethod computer program,0.9744304719299456
267,deep learning,usesTask,visual object tracking,deep learning usesTask visual object tracking,0.7873690764499314
268,transmission unit a,usesMethod,tracking system,transmission unit a usesMethod tracking system,0.8277947045744537
269,tracking system,usesMaterial,document image,tracking system usesMaterial document image,0.8038095577573952
270,face detection,usesMaterial,stereo camera,face detection usesMaterial stereo camera,0.8578179230054643
271,game theory,usesMethod,module module,game theory usesMethod module module,0.7314106928071236
272,moving mechanism move,usesMethod,machine learning,moving mechanism move usesMethod machine learning,0.7184974024379008
273,acquisition device,usesTask,storage storage bin,acquisition device usesTask storage storage bin,0.7657490428977496
274,deep learning,usesTask,automatic image annotation,deep learning usesTask automatic image annotation,0.8769500680071164
275,image analysis,usesTask,pattern recognition,image analysis usesTask pattern recognition,1.0000000000000002
276,deep learning,usesTask,computer vision society,deep learning usesTask computer vision society,0.9089888270286924
277,block chain chain,usesMethod,graphics processing unit,block chain chain usesMethod graphics processing unit,0.6689495082687504
278,sensor,usesMethod,inverter,sensor usesMethod inverter,0.9780392807424386
279,action recognition,usesMaterial,natural photograph,action recognition usesMaterial natural photograph,0.8857862868298582
280,target detection,usesMethod,tracking system,target detection usesMethod tracking system,0.9329392153593866
281,image analysis,usesMethod,k-nearest neighbor,image analysis usesMethod k-nearest neighbor,0.866216065764991
282,image analysis,usesMaterial,ct image,image analysis usesMaterial ct image,0.865671113920818
283,artificial intelligence,usesTask,knowledge acquisition,artificial intelligence usesTask knowledge acquisition,0.8759410331790021
284,graphics processing unit,usesMaterial,point cloud,graphics processing unit usesMaterial point cloud,0.7923756600885891
285,mainboard on,usesMethod,machine learning,mainboard on usesMethod machine learning,0.7405531295894252
286,graphics processing unit,usesTask,image fusion,graphics processing unit usesTask image fusion,0.9033709892093176
287,machine learning,usesTask,big data processing,machine learning usesTask big data processing,0.8538114208220587
288,image analysis,usesMaterial,video camera,image analysis usesMaterial video camera,0.9246961665141255
289,spectrum sharing,usesMethod,artificial intelligence,spectrum sharing usesMethod artificial intelligence,0.7433888217348098
290,data compression,usesTask,energy constraint,data compression usesTask energy constraint,0.8372251963985624
291,artificial intelligence,usesMaterial,data stream,artificial intelligence usesMaterial data stream,0.8032204535076696
292,image analysis,usesMethod,k k mean,image analysis usesMethod k k mean,0.8842587420924896
293,neural network,usesTask,variable selection,neural network usesTask variable selection,1.0000000000000002
294,machine learning,usesTask,user activity,machine learning usesTask user activity,0.9999999999999998
295,tracking system,usesTask,automatic tracking,tracking system usesTask automatic tracking,0.876875524593981
296,support vector,usesMethod,acquisition device,support vector usesMethod acquisition device,0.7292329047758946
297,web server,usesMethod,evolutionary algorithm,web server usesMethod evolutionary algorithm,0.7749456313924652
298,pattern recognition,usesMethod,multiple regression,pattern recognition usesMethod multiple regression,0.806915322892885
299,cross beam a,usesMethod,sensor,cross beam a usesMethod sensor,0.8017167801803067
300,sensor,usesTask,image acquisition,sensor usesTask image acquisition,0.9043953831798803
301,support vector,usesTask,sentiment analysis,support vector usesTask sentiment analysis,0.9673405042512676
